# This is a CSV file containing the TPL, TPU, UF and Compression for the Union-Find data structure.
# The data was generated for n = 1000 and delta = 5 .
N,TPL,TPU,UF,Compression
2045,132258,0,QU,NC
2050,132258,0,QU,NC
2055,132258,0,QU,NC
2060,133237,0,QU,NC
2065,133237,0,QU,NC
2070,133237,0,QU,NC
2075,133237,0,QU,NC
2080,133237,0,QU,NC
2085,133237,0,QU,NC
2090,133237,0,QU,NC
2095,133237,0,QU,NC
2100,133237,0,QU,NC
2105,133238,0,QU,NC
2110,133238,0,QU,NC
2115,133238,0,QU,NC
2120,133238,0,QU,NC
2125,133238,0,QU,NC
2130,133238,0,QU,NC
2135,133239,0,QU,NC
2140,133239,0,QU,NC
2145,134221,0,QU,NC
2150,134221,0,QU,NC
2155,134221,0,QU,NC
2160,134222,0,QU,NC
2165,134222,0,QU,NC
2170,134223,0,QU,NC
2175,134223,0,QU,NC
2180,134224,0,QU,NC
2185,134224,0,QU,NC
2190,134225,0,QU,NC
2195,134225,0,QU,NC
2200,134225,0,QU,NC
2205,134225,0,QU,NC
2210,134225,0,QU,NC
2215,134225,0,QU,NC
2220,134225,0,QU,NC
2225,134225,0,QU,NC
2230,134225,0,QU,NC
2235,134225,0,QU,NC
2240,134225,0,QU,NC
2245,134225,0,QU,NC
2250,134225,0,QU,NC
2255,134225,0,QU,NC
2260,134225,0,QU,NC
2265,134225,0,QU,NC
2270,134225,0,QU,NC
2275,134225,0,QU,NC
2280,134225,0,QU,NC
2285,134225,0,QU,NC
2290,134225,0,QU,NC
2295,134225,0,QU,NC
2300,134225,0,QU,NC
2305,134226,0,QU,NC
2310,134226,0,QU,NC
2315,134226,0,QU,NC
2320,134226,0,QU,NC
2325,134226,0,QU,NC
2330,134226,0,QU,NC
2335,134226,0,QU,NC
2340,134226,0,QU,NC
2345,134227,0,QU,NC
2350,134227,0,QU,NC
2355,134227,0,QU,NC
2360,134227,0,QU,NC
2365,134227,0,QU,NC
2370,134227,0,QU,NC
2375,134227,0,QU,NC
2380,134227,0,QU,NC
2385,134227,0,QU,NC
2390,134227,0,QU,NC
2395,134227,0,QU,NC
2400,134227,0,QU,NC
2405,134227,0,QU,NC
2410,134227,0,QU,NC
2415,134227,0,QU,NC
2420,134228,0,QU,NC
2425,135218,0,QU,NC
2430,135218,0,QU,NC
2435,135218,0,QU,NC
2440,135218,0,QU,NC
2445,135218,0,QU,NC
2450,135218,0,QU,NC
2455,135218,0,QU,NC
2460,135218,0,QU,NC
2465,135218,0,QU,NC
2470,135218,0,QU,NC
2475,135218,0,QU,NC
2480,135218,0,QU,NC
2485,135218,0,QU,NC
2490,135218,0,QU,NC
2495,135218,0,QU,NC
2500,135218,0,QU,NC
2505,135219,0,QU,NC
2510,135219,0,QU,NC
2515,135219,0,QU,NC
2520,135219,0,QU,NC
2525,135219,0,QU,NC
2530,135219,0,QU,NC
2535,135219,0,QU,NC
2540,135219,0,QU,NC
2545,135219,0,QU,NC
2550,135219,0,QU,NC
2555,135219,0,QU,NC
2560,135219,0,QU,NC
2565,135219,0,QU,NC
2570,135219,0,QU,NC
2575,135219,0,QU,NC
2580,135219,0,QU,NC
2585,135219,0,QU,NC
2590,135219,0,QU,NC
2595,135219,0,QU,NC
2600,135219,0,QU,NC
2605,135219,0,QU,NC
2610,135219,0,QU,NC
2615,135219,0,QU,NC
2620,135219,0,QU,NC
2625,135219,0,QU,NC
2630,135219,0,QU,NC
2635,135219,0,QU,NC
2640,135219,0,QU,NC
2645,135219,0,QU,NC
2650,135219,0,QU,NC
2655,135219,0,QU,NC
2660,135219,0,QU,NC
2665,135219,0,QU,NC
2670,135219,0,QU,NC
2675,135219,0,QU,NC
2680,135219,0,QU,NC
2685,135219,0,QU,NC
2690,135219,0,QU,NC
2695,135219,0,QU,NC
2700,135219,0,QU,NC
2705,135219,0,QU,NC
2710,135219,0,QU,NC
2715,135219,0,QU,NC
2720,135219,0,QU,NC
2725,135219,0,QU,NC
2730,135219,0,QU,NC
2735,135219,0,QU,NC
2740,135219,0,QU,NC
2745,135220,0,QU,NC
2750,135220,0,QU,NC
2755,135220,0,QU,NC
2760,136213,0,QU,NC
2765,136213,0,QU,NC
2770,136213,0,QU,NC
2775,136213,0,QU,NC
2780,136213,0,QU,NC
2785,136213,0,QU,NC
2790,136213,0,QU,NC
2795,136213,0,QU,NC
2800,136213,0,QU,NC
2805,136213,0,QU,NC
2810,136213,0,QU,NC
2815,136213,0,QU,NC
2820,136213,0,QU,NC
2825,137207,0,QU,NC
2830,137207,0,QU,NC
2835,137207,0,QU,NC
2840,137207,0,QU,NC
2845,137207,0,QU,NC
2850,137207,0,QU,NC
2855,137207,0,QU,NC
2860,137207,0,QU,NC
2865,137207,0,QU,NC
2870,137207,0,QU,NC
2875,137207,0,QU,NC
2880,137207,0,QU,NC
2885,137207,0,QU,NC
2890,137207,0,QU,NC
2895,137207,0,QU,NC
2900,137207,0,QU,NC
2905,137207,0,QU,NC
2910,137207,0,QU,NC
2915,137207,0,QU,NC
2920,137207,0,QU,NC
2925,137207,0,QU,NC
2930,137207,0,QU,NC
2935,137207,0,QU,NC
2940,138202,0,QU,NC
2945,138202,0,QU,NC
2950,138202,0,QU,NC
2955,138202,0,QU,NC
2960,138202,0,QU,NC
